2024-09-26 16:12:39 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-26 16:12:39 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:39 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:40 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:40 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-26 16:12:40 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:40 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:40 status installed logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:40 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-26 16:12:40 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 16:12:40 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 02:12:36 startup archives unpack
2024-09-27 02:12:36 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-27 02:12:36 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 02:12:36 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-27 02:12:36 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:36 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:36 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-27 02:12:36 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:36 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:36 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-27 02:12:36 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:36 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:36 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-27 02:12:36 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:36 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:36 startup packages configure
2024-09-27 02:12:36 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-27 02:12:36 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 status installed libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-27 02:12:36 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:36 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:37 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:37 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-27 02:12:37 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:37 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:37 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:37 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-27 02:12:37 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:37 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:37 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:37 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-27 02:12:37 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:38 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:38 status installed logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:38 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-27 02:12:38 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 02:12:38 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 04:53:27 startup archives unpack
2024-09-27 04:53:27 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-27 04:53:27 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 04:53:27 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-27 04:53:27 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 04:53:27 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-27 04:53:27 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 04:53:27 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 04:53:27 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-27 04:53:27 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 04:53:27 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 04:53:28 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-27 04:53:28 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-27 04:53:28 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 04:53:28 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-27 04:53:28 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 04:53:28 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 04:53:28 startup packages configure
2024-09-27 04:53:28 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-27 04:53:28 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 04:53:28 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-27 04:53:28 status installed libestr0:amd64 0.1.11-1build1
2024-09-27 04:53:28 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-27 04:53:28 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 04:53:28 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-27 04:53:28 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 04:53:28 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-27 04:53:28 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 04:53:28 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 04:53:29 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 04:53:29 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-27 04:53:29 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 04:53:29 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 04:53:29 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 04:53:29 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-27 04:53:29 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 04:53:29 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-27 04:53:29 status installed logrotate:amd64 3.21.0-2build1
2024-09-27 04:53:29 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-27 04:53:29 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 04:53:29 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 06:59:49 startup archives unpack
2024-09-27 06:59:49 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-27 06:59:49 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 06:59:49 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-27 06:59:49 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 06:59:49 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-27 06:59:49 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 06:59:49 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 06:59:49 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-27 06:59:49 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 06:59:49 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 06:59:49 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-27 06:59:49 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-27 06:59:49 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 06:59:50 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-27 06:59:50 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 06:59:50 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 06:59:50 startup packages configure
2024-09-27 06:59:50 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-27 06:59:50 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 06:59:50 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-27 06:59:50 status installed libestr0:amd64 0.1.11-1build1
2024-09-27 06:59:50 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-27 06:59:50 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 06:59:50 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-27 06:59:50 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 06:59:50 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-27 06:59:50 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 06:59:50 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 06:59:51 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 06:59:51 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-27 06:59:51 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 06:59:51 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 06:59:51 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 06:59:51 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-27 06:59:51 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 06:59:51 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-27 06:59:51 status installed logrotate:amd64 3.21.0-2build1
2024-09-27 06:59:51 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-27 06:59:51 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 06:59:51 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 07:59:35 startup archives unpack
2024-09-27 07:59:35 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-27 07:59:35 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 07:59:35 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-27 07:59:35 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 07:59:35 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-27 07:59:35 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 07:59:35 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 07:59:36 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-27 07:59:36 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 07:59:36 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 07:59:36 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-27 07:59:36 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-27 07:59:36 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 07:59:36 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-27 07:59:36 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 07:59:36 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 07:59:36 startup packages configure
2024-09-27 07:59:36 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-27 07:59:36 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 07:59:36 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-27 07:59:36 status installed libestr0:amd64 0.1.11-1build1
2024-09-27 07:59:36 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-27 07:59:36 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 07:59:36 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-27 07:59:36 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 07:59:36 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-27 07:59:36 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 07:59:36 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 07:59:37 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 07:59:37 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-27 07:59:37 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 07:59:38 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 07:59:38 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 07:59:38 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-27 07:59:38 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 07:59:38 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-27 07:59:38 status installed logrotate:amd64 3.21.0-2build1
2024-09-27 07:59:38 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-27 07:59:38 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 07:59:38 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-30 08:22:37 startup archives unpack
2024-09-30 08:22:37 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-30 08:22:37 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-30 08:22:37 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-30 08:22:37 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-30 08:22:37 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-30 08:22:37 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-30 08:22:37 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-30 08:22:37 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-30 08:22:37 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-30 08:22:37 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-30 08:22:37 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-30 08:22:37 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-30 08:22:37 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-30 08:22:37 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-30 08:22:37 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-30 08:22:37 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-30 08:22:38 startup packages configure
2024-09-30 08:22:38 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-30 08:22:38 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-30 08:22:38 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-30 08:22:38 status installed libestr0:amd64 0.1.11-1build1
2024-09-30 08:22:38 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-30 08:22:38 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-30 08:22:38 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-30 08:22:38 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-30 08:22:38 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-30 08:22:38 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-30 08:22:38 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-30 08:22:39 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-30 08:22:39 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-30 08:22:39 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-30 08:22:39 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-30 08:22:39 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-30 08:22:39 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-30 08:22:39 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-30 08:22:39 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-30 08:22:39 status installed logrotate:amd64 3.21.0-2build1
2024-09-30 08:22:39 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-30 08:22:39 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-30 08:22:39 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-10-07 01:52:46 startup archives unpack
2024-10-07 01:52:47 install libestr0:amd64 <none> 0.1.11-1build1
2024-10-07 01:52:47 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-10-07 01:52:47 status half-installed libestr0:amd64 0.1.11-1build1
2024-10-07 01:52:47 status unpacked libestr0:amd64 0.1.11-1build1
2024-10-07 01:52:47 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-10-07 01:52:47 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-10-07 01:52:47 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-10-07 01:52:47 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-10-07 01:52:47 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-10-07 01:52:47 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-10-07 01:52:47 install logrotate:amd64 <none> 3.21.0-2build1
2024-10-07 01:52:47 status half-installed logrotate:amd64 3.21.0-2build1
2024-10-07 01:52:47 status unpacked logrotate:amd64 3.21.0-2build1
2024-10-07 01:52:47 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-10-07 01:52:47 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-10-07 01:52:47 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-10-07 01:52:47 startup packages configure
2024-10-07 01:52:47 configure libestr0:amd64 0.1.11-1build1 <none>
2024-10-07 01:52:47 status unpacked libestr0:amd64 0.1.11-1build1
2024-10-07 01:52:48 status half-configured libestr0:amd64 0.1.11-1build1
2024-10-07 01:52:48 status installed libestr0:amd64 0.1.11-1build1
2024-10-07 01:52:48 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-10-07 01:52:48 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-10-07 01:52:48 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-10-07 01:52:48 status installed libfastjson4:amd64 1.2304.0-1build1
2024-10-07 01:52:48 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-10-07 01:52:48 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-10-07 01:52:48 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-10-07 01:52:49 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-10-07 01:52:49 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-10-07 01:52:49 status unpacked libpopt0:amd64 1.19+dfsg-1build1
